nukes_used,avg_yield_kt,target_city_population,urbanization_level,soot_emission_Tg,total_targeted_population,human_lives_lost_millions,gdp_impact_pct,expected_global_temp_drop_C,estimated_famine_risk_millions
39,305.1842829,13912739.89,0.990425243,9.783657979,537401622.6,310.9463923,31.61936065,1.12966634,372.0514113
29,269.8244943,18357467.08,0.510679744,9.676484122,271868811.2,120.6763437,25.0620988,1.283614606,242.5779576
15,40.5076292,14540994.86,0.678623055,0.162217705,148017815.3,114.5829134,13.18361497,0.025936098,3.211392032
43,295.9335685,1584803.489,0.78300748,5.369110748,53359258.38,38.05292501,29.51069346,0.973932805,374.7304629
8,560.6604006,8117622.66,0.927683911,3.435500663,60244703.5,14.69641636,8.089349827,0.477012348,67.67017448
21,16.57716974,150816.4065,0.856155183,2.98311631,2711567.209,0.688721203,26.57698352,0.205445983,48.30907878
39,293.9707976,10273014.19,0.945371863,6.002896568,378760924.2,170.5310775,41.49833799,0.995330149,286.7918388
19,883.1891773,3944769.249,0.762630216,4.5184128,57159604.28,11.71901639,21.96289704,0.478237089,43.82845301
23,599.7438563,17376118.31,0.919191285,7.355136607,367355459.9,94.27522084,25.19388693,1.062682489,425.8380733
11,613.7448817,2176267.552,0.558305798,0.368628485,13365250.72,10.151675,6.147849723,0.029412261,13.9289107
11,412.3138405,128524.6331,0.658338905,9.276219381,930740.4287,0.628677092,7.568660668,0.691183988,80.17937972
24,681.3250613,9077806.258,0.906263485,5.719173592,197445224,119.1829499,20.40836248,0.331146552,145.8378154
36,202.0837747,3193122.748,0.595338201,6.872260352,68435566.25,47.77776636,50.01246011,0.667766167,179.0416415
40,821.4656082,14785929.01,0.922733287,6.0854061,545738754.7,191.0265262,33.94769337,0.84934972,94.36488447
24,129.9387831,18406701.16,0.617869041,9.892402902,272950339,173.4163168,19.85080732,0.967638343,313.0453848
3,661.1613343,934566.4846,0.618036822,9.864354569,1732789.501,0.986546883,5,0.849635814,398.1515992
22,351.0320859,7972084.027,0.585419749,6.137925207,102674339.4,72.81545562,32.38574411,1.222857885,587.9802075
2,751.300276,19936618.02,0.72816585,6.871236619,29034328.83,10.73144966,5,1.373053488,513.3804525
24,556.518083,14680172.2,0.477441243,6.223841469,168214072.1,110.7234609,30.38225343,0.87595689,238.3549396
44,460.5677429,19068434.11,0.421961591,3.175741147,354030459.1,251.9248326,38.88304264,0.312933319,41.93547039
30,181.8810661,3365257.376,0.938447788,2.006874209,94743550.21,50.15762628,17.35108362,0.359720822,115.1003512
38,642.2691423,4505234.334,0.957362953,4.087355203,163899488.9,73.47141129,29.0137702,0.656096148,213.9041898
2,975.1482958,3180743.688,0.445702397,6.859292541,2835330.173,2.180911999,5,0.97669975,97.65953065
21,828.2193735,6117143.772,0.729818533,0.654175808,93752502.77,28.25529518,14.28625612,0.121832499,20.00493659
33,74.1080697,14515242.96,0.723809296,5.191621547,346706836.9,76.88703461,46.01023645,0.606365075,114.1790577
12,385.5859377,3382438.549,0.623458408,4.143133541,25305717.05,7.781107105,12.42905418,0.365915122,159.8441061
22,926.6992641,10532257.35,0.741342892,5.322099929,171776310.8,104.7959827,26.71980364,1.038111506,324.4632394
44,510.4980913,5457277.39,0.674871607,8.616243668,162050308.8,109.1194216,41.96022138,1.542623449,246.4535424
25,667.1801484,16600996,0.693781009,0.571340362,287936393.8,181.427726,35.80773429,0.106731964,20.22820531
49,913.9103554,231188.8662,0.853202094,7.659878089,9665290.413,4.36793739,36.24325826,1.437996078,166.3094555
27,875.6877701,4539987.675,0.71557616,6.70240793,87715087.61,68.46549647,28.95570262,0.719784587,50.32669653
42,509.2930699,12144291.08,0.594194856,2.118095012,303075161.9,141.4091584,23.90287255,0.379395713,105.9975337
28,446.0816081,2024538.989,0.748873667,7.368418328,42451470.25,33.48499647,27.45196278,1.351308331,86.92819105
16,349.5972292,9379613.097,0.784452398,5.014082274,117725759.8,88.39672648,23.56342963,0.662550524,328.9030716
15,723.2341515,8780525.2,0.797386806,4.862145477,105022124.2,46.65993,8.821972869,0.69912137,277.9369833
47,297.6819975,17065207.84,0.770983991,4.882398098,618379095.8,183.4144453,47.31598239,0.667054919,266.8502187
44,261.1392923,12545404.14,0.798761659,9.497417216,440914664.3,111.9493116,48.50147771,0.497703779,193.8715977
3,365.9061462,12830071.04,0.58605567,9.449208613,22557407.64,11.70469982,5,1.231514681,416.8674535
37,189.556831,19040971.28,0.667680348,9.144719662,470391446,309.482187,29.50432547,0.509136929,41.488091
7,699.6930187,19648971.47,0.801223702,8.878746528,110202551.6,33.68105345,7.020584453,1.04468285,266.5959733
21,621.9970396,13102555.17,0.852621125,0.472122107,234601821.9,91.71208394,31.2311129,0.026841516,4.711550785
9,490.6353561,10487828.86,0.660487677,4.065889778,62343735.49,36.05455945,11.42117101,0.481009551,88.60297167
39,399.4708926,12197609.16,0.619199706,8.959282929,294557484.4,140.3628161,51.10616853,0.85751395,185.9254426
18,910.4266048,7710629.731,0.829529593,7.575752901,115131519.8,64.74083296,23.04920296,1.258247479,244.4754901
4,43.68692821,19750386.68,0.533303908,4.620932043,42131833.59,25.52433065,5,0.563130648,195.9654799
25,772.5711274,14129923.06,0.405695317,7.755205068,143311090.5,61.39691555,23.35885169,0.983470384,52.47113664
14,903.3809282,5891035.208,0.682699601,2.161039676,56305303.44,37.81350322,10.56738449,0.400987159,86.14109066
9,454.6592607,1249549.35,0.504023893,6.03801253,5668224.548,3.524043189,8.693701566,0.738719356,350.8929291
26,557.4301341,989966.3901,0.626969655,5.376682991,16137651.05,9.884826658,13.53306151,0.394948262,65.57996893
2,945.2967326,4177768.312,0.57474049,5.778115518,4802265.215,1.391168756,5,0.386478585,127.3821758
20,224.0933526,4734969.78,0.866357133,7.245774657,82043496.87,39.75346741,15.74515205,0.694676463,209.9239266
28,527.3328251,8359405.33,0.5988451,9.503040703,140167689.7,76.57413456,23.34162811,0.853435308,230.5759153
47,482.6003102,4375435.632,0.784405475,2.713716503,161309436.2,54.17282717,56.75331489,0.468860447,49.22250882
7,269.5167582,12655117.57,0.804347558,7.604702676,71253790.42,46.68122632,5,1.245897986,530.9109345
44,821.3143319,4303969.143,0.673872571,6.486895591,127614377.2,34.79385781,57.01400437,0.381387746,116.4275451
8,901.1065858,3838743.125,0.448646761,6.981936168,13777917.36,3.994417981,10.40641248,0.559601595,163.6162813
47,785.2035911,9477616.157,0.820219052,4.346304684,365364902.8,163.6803991,51.09075885,0.509925079,243.3095233
35,207.4285764,17784505.13,0.445100749,9.451328103,277056379.2,77.91016016,34.70237816,0.596187386,52.02340959
14,100.447406,9419279.199,0.459527776,4.848596875,60597885.88,12.5429365,13.54358427,0.363318289,98.53015726
17,611.362818,8335590.017,0.517598421,1.303758715,73346299.96,32.77414559,15.64916547,0.24284695,89.29633512
36,71.2383391,11604088.66,0.568225479,6.838860507,237374598,139.8448017,21.18869769,0.897118193,366.6690178
40,677.7335002,5218552.207,0.90787102,1.375804226,189510892.6,94.2026392,46.21774188,0.233194466,11.75136018
4,537.467857,7133387.434,0.804953066,3.294482512,22968168.35,5.312716918,5,0.328072169,117.1174845
2,667.8439468,4355321.588,0.632327673,2.357256206,5507980.73,1.869844904,5,0.250384122,120.2013094
6,596.318212,11479018.89,0.987176471,5.4354505,67990904.15,34.98874315,5,0.971602359,367.8559073
42,431.362031,13978012.48,0.546161525,3.540288444,320638609.8,206.1243463,39.32562022,0.526005896,125.4865214
4,212.8640224,13506602.96,0.765888632,1.682547045,41378214.67,27.98616288,5.605231008,0.25533864,113.422261
29,316.1166038,5170874.577,0.908328465,7.929062208,136208724.5,69.68725564,43.21808436,1.156383217,515.0319947
18,531.6330656,15614999.29,0.881213547,4.738067042,247682680.4,145.5572839,22.52387349,0.621492808,223.5490024
